iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
TUR,Asia,Turkey,05/10,326046,1603,1457.286,8498,57,62.286,3865.895,19.007,17.279,100.76,0.676,0.739,1.04,,,,,,,,,10931917,115632,129.619,1.371,111242,1.319,0.013,76.3,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,06/10,327557,1511,1469.286,8553,55,60.429,3883.811,17.916,17.421,101.412,0.652,0.716,1.01,,,,,,,,,11044338,112421,130.952,1.333,110882,1.315,0.013,75.5,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,07/10,329138,1581,1496.429,8609,56,59.143,3902.557,18.746,17.743,102.076,0.664,0.701,1.04,,,,,,,,,11160946,116608,132.334,1.383,111526,1.322,0.013,74.5,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,08/10,330753,1615,1526.143,8667,58,57.857,3921.706,19.149,18.095,102.764,0.688,0.686,1.06,,,,,,,,,11278047,117101,133.723,1.388,112034,1.328,0.014,73.4,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,09/10,332382,1629,1552.857,8722,55,56.714,3941.021,19.315,18.412,103.416,0.652,0.672,1.06,,,,,,,,,11393342,115295,135.09,1.367,112097,1.329,0.014,72.2,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,10/10,334031,1649,1573.857,8778,56,56.286,3960.573,19.552,18.661,104.08,0.664,0.667,1.05,,,,,,,,,11506444,113102,136.431,1.341,113509,1.346,0.014,72.1,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,11/10,335533,1502,1584.286,8837,59,56.571,3978.382,17.809,18.785,104.779,0.7,0.671,0.99,,,,,,,,,11615745,109301,137.727,1.296,114209,1.354,0.014,72.1,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,12/10,337147,1614,1585.857,8895,58,56.714,3997.519,19.137,18.803,105.467,0.688,0.672,1.03,,,,,,,,,11731350,115605,139.097,1.371,114205,1.354,0.014,72,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,13/10,338779,1632,1603.143,8957,62,57.714,4016.869,19.35,19.008,106.202,0.735,0.684,1.04,,,,,,,,,11846342,114992,140.461,1.363,114572,1.358,0.014,71.5,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,14/10,340450,1671,1616,9014,57,57.857,4036.682,19.813,19.161,106.878,0.676,0.686,1.06,,,,,,,,,11961670,115328,141.828,1.367,114389,1.356,0.014,70.8,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,15/10,342143,1693,1627.143,9080,66,59,4056.756,20.074,19.293,107.661,0.783,0.7,1.07,,,,,,,,,12077773,116103,143.205,1.377,114247,1.355,0.014,70.2,tests performed,69.91,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,16/10,343955,1812,1653.286,9153,73,61.571,4078.241,21.485,19.603,108.526,0.866,0.73,1.11,,,,,,,,,12194778,117005,144.592,1.387,114491,1.358,0.014,69.3,tests performed,68.06,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,17/10,345678,1723,1663.857,9224,71,63.714,4098.67,20.429,19.728,109.368,0.842,0.755,1.08,,,,,,,,,12306909,112131,145.922,1.33,114352,1.356,0.015,68.7,tests performed,68.06,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,18/10,347493,1815,1708.571,9296,72,65.571,4120.19,21.52,20.258,110.222,0.854,0.777,1.11,,,,,,,,,12408312,101403,147.124,1.202,113224,1.342,0.015,66.3,tests performed,68.06,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,19/10,349519,2026,1767.429,9371,75,68,4144.212,24.022,20.956,111.111,0.889,0.806,1.18,,,,,,,,,12524561,116249,148.502,1.378,113316,1.344,0.016,64.1,tests performed,68.06,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,20/10,351413,1894,1804.857,9445,74,69.714,4166.669,22.457,21.4,111.988,0.877,0.827,1.12,,,,,,,,,12641126,116565,149.885,1.382,113541,1.346,0.016,62.9,tests performed,68.06,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,21/10,353426,2013,1853.714,9513,68,71.286,4190.537,23.868,21.979,112.795,0.806,0.845,1.15,,,,,,,,,12759069,117943,151.283,1.398,113914,1.351,0.016,61.5,tests performed,68.06,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,22/10,355528,2102,1912.143,9584,71,72,4215.46,24.923,22.672,113.637,0.842,0.854,1.17,,,,,,,,,12876267,117198,152.673,1.39,114071,1.353,0.017,59.7,tests performed,68.06,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,23/10,357693,2165,1962.571,9658,74,72.143,4241.131,25.67,23.27,114.514,0.877,0.855,1.17,,,,,,,,,12992246,115979,154.048,1.375,113924,1.351,0.017,58,tests performed,68.06,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,24/10,359784,2091,2015.143,9727,69,71.857,4265.923,24.793,23.893,115.332,0.818,0.852,1.12,,,,,,,,,13105673,113427,155.393,1.345,114109,1.353,0.018,56.6,tests performed,68.06,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,25/10,361801,2017,2044,9799,72,71.857,4289.839,23.915,24.236,116.186,0.854,0.852,1.08,,,,,,,,,13217888,112215,156.723,1.331,115654,1.371,0.018,56.6,tests performed,68.06,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,26/10,363999,2198,2068.571,9874,75,71.857,4315.9,26.061,24.527,117.075,0.889,0.852,1.13,,,,,,,,,13350801,132913,158.299,1.576,118034,1.4,0.018,57.1,tests performed,68.06,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,27/10,366208,2209,2113.571,9950,76,72.143,4342.092,26.192,25.06,117.976,0.901,0.855,1.13,,,,,,,,,13478452,127651,159.813,1.514,119618,1.418,0.018,56.6,tests performed,68.06,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,28/10,368513,2305,2155.286,10027,77,73.429,4369.422,27.33,25.555,118.889,0.913,0.871,1.14,,,,,,,,,13606764,128312,161.334,1.521,121099,1.436,0.018,56.2,tests performed,68.06,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,29/10,370832,2319,2186.286,10099,72,73.571,4396.918,27.496,25.923,119.743,0.854,0.872,1.13,,,,,,,,,13741180,134416,162.928,1.594,123559,1.465,0.018,56.5,tests performed,60.65,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,30/10,373154,2322,2208.714,10177,78,74.143,4424.45,27.532,26.189,120.668,0.925,0.879,1.11,,,,,,,,,13877705,136525,164.547,1.619,126494,1.5,0.017,57.3,tests performed,60.65,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,31/10,375367,2213,2226.143,10252,75,75,4450.69,26.239,26.395,121.557,0.889,0.889,1.05,,,,,,,,,14001814,124109,166.018,1.472,128020,1.518,0.017,57.5,tests performed,60.65,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,01/11,377473,2106,2238.857,10326,74,75.286,4475.66,24.971,26.546,122.434,0.877,0.893,1.02,,,,,,,,,14125157,123343,167.481,1.462,129610,1.537,0.017,57.9,tests performed,60.65,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,02/11,379775,2302,2253.714,10402,76,75.429,4502.955,27.295,26.722,123.335,0.901,0.894,1.07,,,,,,,,,14264260,139103,169.13,1.649,130494,1.547,0.017,57.9,tests performed,60.65,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,03/11,382118,2343,2272.857,10481,79,75.857,4530.735,27.781,26.949,124.272,0.937,0.899,1.09,,,,,,,,,14410507,146247,170.864,1.734,133151,1.579,0.017,58.6,tests performed,60.65,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
